points/segment = 2000
x-axis,D0-D7
second,
+4.60000E-03,16
+4.65000E-03,16
+4.70000E-03,16
+4.75000E-03,16
+4.80000E-03,16
+4.85000E-03,16
+4.90000E-03,16
+4.95000E-03,16
+5.00000E-03,16
+5.05000E-03,16
+5.10000E-03,16
+5.15000E-03,16
+5.20000E-03,16
+5.25000E-03,16
+5.30000E-03,16
+5.35000E-03,16
+5.40000E-03,16
+5.45000E-03,16
+5.50000E-03,16
+5.55000E-03,16
+5.60000E-03,16
+5.65000E-03,16
+5.70000E-03,16
+5.75000E-03,16
+5.80000E-03,16
+5.85000E-03,16
+5.90000E-03,16
+5.95000E-03,16
+6.00000E-03,16
+6.05000E-03,16
+6.10000E-03,16
+6.15000E-03,16
+6.20000E-03,16
+6.25000E-03,16
+6.30000E-03,16
+6.35000E-03,16
+6.40000E-03,16
+6.45000E-03,16
+6.50000E-03,16
+6.55000E-03,16
+6.60000E-03,16
+6.65000E-03,16
+6.70000E-03,16
+6.75000E-03,16
+6.80000E-03,16
+6.85000E-03,16
+6.90000E-03,16
+6.95000E-03,16
+7.00000E-03,16
+7.05000E-03,16
+7.10000E-03,16
+7.15000E-03,16
+7.20000E-03,16
+7.25000E-03,16
+7.30000E-03,16
+7.35000E-03,16
+7.40000E-03,16
+7.45000E-03,16
+7.50000E-03,16
+7.55000E-03,16
+7.60000E-03,16
+7.65000E-03,16
+7.70000E-03,16
+7.75000E-03,16
+7.80000E-03,16
+7.85000E-03,16
+7.90000E-03,16
+7.95000E-03,16
+8.00000E-03,16
+8.05000E-03,16
+8.10000E-03,16
+8.15000E-03,16
+8.20000E-03,16
+8.25000E-03,16
+8.30000E-03,16
+8.35000E-03,16
+8.40000E-03,16
+8.45000E-03,16
+8.50000E-03,16
+8.55000E-03,16
+8.60000E-03,16
+8.65000E-03,16
+8.70000E-03,16
+8.75000E-03,16
+8.80000E-03,16
+8.85000E-03,16
+8.90000E-03,16
+8.95000E-03,16
+9.00000E-03,16
+9.05000E-03,16
+9.10000E-03,16
+9.15000E-03,16
+9.20000E-03,16
+9.25000E-03,16
+9.30000E-03,16
+9.35000E-03,16
+9.40000E-03,16
+9.45000E-03,16
+9.50000E-03,16
+9.55000E-03,16
+9.60000E-03,16
+9.65000E-03,16
+9.70000E-03,16
+9.75000E-03,16
+9.80000E-03,16
+9.85000E-03,16
+9.90000E-03,16
+9.95000E-03,16
+10.00000E-03,16
+10.05000E-03,16
+10.10000E-03,16
+10.15000E-03,16
+10.20000E-03,16
+10.25000E-03,16
+10.30000E-03,16
+10.35000E-03,16
+10.40000E-03,16
+10.45000E-03,16
+10.50000E-03,16
+10.55000E-03,16
+10.60000E-03,16
+10.65000E-03,16
+10.70000E-03,16
+10.75000E-03,16
+10.80000E-03,16
+10.85000E-03,16
+10.90000E-03,16
+10.95000E-03,16
+11.00000E-03,16
+11.05000E-03,16
+11.10000E-03,16
+11.15000E-03,16
+11.20000E-03,16
+11.25000E-03,16
+11.30000E-03,16
+11.35000E-03,16
+11.40000E-03,16
+11.45000E-03,16
+11.50000E-03,16
+11.55000E-03,16
+11.60000E-03,16
+11.65000E-03,16
+11.70000E-03,16
+11.75000E-03,16
+11.80000E-03,16
+11.85000E-03,16
+11.90000E-03,16
+11.95000E-03,16
+12.00000E-03,16
+12.05000E-03,16
+12.10000E-03,16
+12.15000E-03,16
+12.20000E-03,16
+12.25000E-03,16
+12.30000E-03,16
+12.35000E-03,16
+12.40000E-03,16
+12.45000E-03,16
+12.50000E-03,16
+12.55000E-03,16
+12.60000E-03,16
+12.65000E-03,16
+12.70000E-03,16
+12.75000E-03,16
+12.80000E-03,16
+12.85000E-03,16
+12.90000E-03,16
+12.95000E-03,16
+13.00000E-03,16
+13.05000E-03,16
+13.10000E-03,16
+13.15000E-03,16
+13.20000E-03,16
+13.25000E-03,16
+13.30000E-03,16
+13.35000E-03,16
+13.40000E-03,16
+13.45000E-03,16
+13.50000E-03,16
+13.55000E-03,16
+13.60000E-03,16
+13.65000E-03,16
+13.70000E-03,16
+13.75000E-03,16
+13.80000E-03,16
+13.85000E-03,16
+13.90000E-03,16
+13.95000E-03,16
+14.00000E-03,16
+14.05000E-03,16
+14.10000E-03,16
+14.15000E-03,16
+14.20000E-03,16
+14.25000E-03,16
+14.30000E-03,16
+14.35000E-03,16
+14.40000E-03,16
+14.45000E-03,16
+14.50000E-03,16
+14.55000E-03,16
+14.60000E-03,16
+14.65000E-03,16
+14.70000E-03,16
+14.75000E-03,16
+14.80000E-03,16
+14.85000E-03,16
+14.90000E-03,16
+14.95000E-03,16
+15.00000E-03,16
+15.05000E-03,16
+15.10000E-03,16
+15.15000E-03,16
+15.20000E-03,16
+15.25000E-03,16
+15.30000E-03,16
+15.35000E-03,16
+15.40000E-03,16
+15.45000E-03,16
+15.50000E-03,16
+15.55000E-03,16
+15.60000E-03,16
+15.65000E-03,16
+15.70000E-03,16
+15.75000E-03,16
+15.80000E-03,16
+15.85000E-03,16
+15.90000E-03,16
+15.95000E-03,16
+16.00000E-03,16
+16.05000E-03,16
+16.10000E-03,16
+16.15000E-03,16
+16.20000E-03,16
+16.25000E-03,16
+16.30000E-03,16
+16.35000E-03,16
+16.40000E-03,16
+16.45000E-03,16
+16.50000E-03,16
+16.55000E-03,16
+16.60000E-03,16
+16.65000E-03,16
+16.70000E-03,16
+16.75000E-03,16
+16.80000E-03,16
+16.85000E-03,16
+16.90000E-03,16
+16.95000E-03,16
+17.00000E-03,16
+17.05000E-03,16
+17.10000E-03,16
+17.15000E-03,16
+17.20000E-03,16
+17.25000E-03,16
+17.30000E-03,16
+17.35000E-03,16
+17.40000E-03,16
+17.45000E-03,16
+17.50000E-03,16
+17.55000E-03,16
+17.60000E-03,16
+17.65000E-03,16
+17.70000E-03,16
+17.75000E-03,16
+17.80000E-03,16
+17.85000E-03,16
+17.90000E-03,16
+17.95000E-03,16
+18.00000E-03,16
+18.05000E-03,16
+18.10000E-03,16
+18.15000E-03,16
+18.20000E-03,16
+18.25000E-03,16
+18.30000E-03,16
+18.35000E-03,16
+18.40000E-03,16
+18.45000E-03,16
+18.50000E-03,16
+18.55000E-03,16
+18.60000E-03,16
