points/segment = 2000
x-axis,D0-D7
second,
-21.12500E-03,16
-21.10000E-03,16
-21.07500E-03,16
-21.05000E-03,16
-21.02500E-03,16
-21.00000E-03,16
-20.97500E-03,16
-20.95000E-03,16
-20.92500E-03,16
-20.90000E-03,16
-20.87500E-03,16
-20.85000E-03,16
-20.82500E-03,16
-20.80000E-03,16
-20.77500E-03,16
-20.75000E-03,16
-20.72500E-03,16
-20.70000E-03,16
-20.67500E-03,16
-20.65000E-03,16
-20.62500E-03,16
-20.60000E-03,16
-20.57500E-03,16
-20.55000E-03,16
-20.52500E-03,16
-20.50000E-03,16
-20.47500E-03,16
-20.45000E-03,16
-20.42500E-03,16
-20.40000E-03,16
-20.37500E-03,16
-20.35000E-03,16
-20.32500E-03,16
-20.30000E-03,16
-20.27500E-03,16
-20.25000E-03,16
-20.22500E-03,16
-20.20000E-03,16
-20.17500E-03,16
-20.15000E-03,16
-20.12500E-03,16
-20.10000E-03,16
-20.07500E-03,16
-20.05000E-03,16
-20.02500E-03,16
-20.00000E-03,16
-19.97500E-03,16
-19.95000E-03,16
-19.92500E-03,16
-19.90000E-03,16
-19.87500E-03,16
-19.85000E-03,16
-19.82500E-03,16
-19.80000E-03,16
-19.77500E-03,16
-19.75000E-03,16
-19.72500E-03,16
-19.70000E-03,16
-19.67500E-03,16
-19.65000E-03,16
-19.62500E-03,16
-19.60000E-03,16
-19.57500E-03,16
-19.55000E-03,16
-19.52500E-03,16
-19.50000E-03,16
-19.47500E-03,16
-19.45000E-03,16
-19.42500E-03,16
-19.40000E-03,16
-19.37500E-03,16
-19.35000E-03,16
-19.32500E-03,16
-19.30000E-03,16
-19.27500E-03,16
-19.25000E-03,16
-19.22500E-03,16
-19.20000E-03,16
-19.17500E-03,16
-19.15000E-03,16
-19.12500E-03,16
-19.10000E-03,16
-19.07500E-03,16
-19.05000E-03,16
-19.02500E-03,16
-19.00000E-03,16
-18.97500E-03,16
-18.95000E-03,16
-18.92500E-03,16
-18.90000E-03,16
-18.87500E-03,16
-18.85000E-03,16
-18.82500E-03,16
-18.80000E-03,16
-18.77500E-03,16
-18.75000E-03,16
-18.72500E-03,16
-18.70000E-03,16
-18.67500E-03,16
-18.65000E-03,16
-18.62500E-03,16
-18.60000E-03,16
-18.57500E-03,16
-18.55000E-03,16
-18.52500E-03,16
-18.50000E-03,16
-18.47500E-03,16
-18.45000E-03,16
-18.42500E-03,16
-18.40000E-03,16
-18.37500E-03,16
-18.35000E-03,16
-18.32500E-03,16
-18.30000E-03,16
-18.27500E-03,16
-18.25000E-03,16
-18.22500E-03,16
-18.20000E-03,16
-18.17500E-03,16
-18.15000E-03,16
-18.12500E-03,16
-18.10000E-03,16
-18.07500E-03,16
-18.05000E-03,16
-18.02500E-03,16
-18.00000E-03,16
-17.97500E-03,16
-17.95000E-03,16
-17.92500E-03,16
-17.90000E-03,16
-17.87500E-03,16
-17.85000E-03,16
-17.82500E-03,16
-17.80000E-03,16
-17.77500E-03,16
-17.75000E-03,16
-17.72500E-03,16
-17.70000E-03,16
-17.67500E-03,16
-17.65000E-03,16
-17.62500E-03,16
-17.60000E-03,16
-17.57500E-03,16
-17.55000E-03,16
-17.52500E-03,16
-17.50000E-03,16
-17.47500E-03,16
-17.45000E-03,16
-17.42500E-03,16
-17.40000E-03,16
-17.37500E-03,16
-17.35000E-03,16
-17.32500E-03,16
-17.30000E-03,16
-17.27500E-03,16
-17.25000E-03,16
-17.22500E-03,16
-17.20000E-03,16
-17.17500E-03,16
-17.15000E-03,16
-17.12500E-03,16
-17.10000E-03,16
-17.07500E-03,16
-17.05000E-03,16
-17.02500E-03,16
-17.00000E-03,16
-16.97500E-03,16
-16.95000E-03,16
-16.92500E-03,16
-16.90000E-03,16
-16.87500E-03,16
-16.85000E-03,16
-16.82500E-03,16
-16.80000E-03,16
